climate change
net zero
nature
green space
river
air quality
energy
green
wildlife
environment
global warming
pollution
sustainability
renewable energy
deforestation
habitat destruction
biodiversity
carbon emissions
overfishing
air quality
water quality
wildlife conservation
fracking
nuclear power
waste management
chemical use
plastic pollution
land use
land degradation
species extinction
transport emissions
pesticide use
soil erosion
greenhouse gases
wildfire management
energy efficiency
renewable resources
urban planning 
agricultural runoff
